MatchDate,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Home_xG,Away_xG
2024-04-13,RB Leipzig,Wolfsburg,3,0,1.98,0.99
2024-04-13,M'gladbach,Dortmund,1,2,1.65,1.32
2024-04-13,Stuttgart,Ein Frankfurt,3,0,1.98,0.99
2024-04-14,Darmstadt,Freiburg,0,1,1.32,0.99
2024-04-14,Leverkusen,Werder Bremen,5,0,3.3,0.99
2024-04-19,Ein Frankfurt,Augsburg,3,1,2.31,0.33
2024-04-20,FC Koln,Darmstadt,0,2,1.32,1.98
2024-04-20,Heidenheim,RB Leipzig,1,2,1.65,1.32
2024-04-20,Hoffenheim,M'gladbach,4,3,2.97,2.31
2024-04-20,Wolfsburg,Bochum,1,0,1.65,0.33
2024-04-20,Union Berlin,Bayern Munich,1,5,1.32,2.97
2024-04-21,Freiburg,Mainz,1,1,0.99,1.32
2024-04-21,Werder Bremen,Stuttgart,2,1,0.66,1.65
2024-04-21,Dortmund,Leverkusen,1,1,0.66,1.65
2024-04-26,Bochum,Hoffenheim,3,2,4.29,1.32
2024-04-27,Augsburg,Werder Bremen,0,3,0.33,2.64
2024-04-27,Bayern Munich,Ein Frankfurt,2,1,2.97,0.99
2024-04-27,Freiburg,Wolfsburg,1,2,0.99,1.65
2024-04-27,RB Leipzig,Dortmund,4,1,2.31,1.65
2024-04-27,Leverkusen,Stuttgart,2,2,1.98,1.32
2024-04-28,M'gladbach,Union Berlin,0,0,1.32,2.31
2024-04-28,Mainz,FC Koln,1,1,1.32,1.98
2024-04-28,Darmstadt,Heidenheim,0,1,1.32,1.98
2024-05-03,Hoffenheim,RB Leipzig,1,1,2.64,1.65
2024-05-04,Werder Bremen,M'gladbach,2,2,1.98,2.31
2024-05-04,Stuttgart,Bayern Munich,3,1,3.63,0.99
2024-05-04,FC Koln,Freiburg,0,0,2.31,0.0
2024-05-04,Wolfsburg,Darmstadt,3,0,1.98,0.33
2024-05-04,Dortmund,Augsburg,5,1,3.3,1.32
2024-05-05,Union Berlin,Bochum,3,4,1.98,1.65
2024-05-05,Ein Frankfurt,Leverkusen,1,5,1.65,1.98
2024-05-05,Heidenheim,Mainz,1,1,1.98,1.32
2024-05-10,Augsburg,Stuttgart,0,1,0.33,2.31
2024-05-11,FC Koln,Union Berlin,3,2,1.65,1.98
2024-05-11,Freiburg,Heidenheim,1,1,0.99,0.99
2024-05-11,M'gladbach,Ein Frankfurt,1,1,0.99,0.33
2024-05-11,RB Leipzig,Werder Bremen,1,1,1.65,0.33
2024-05-11,Mainz,Dortmund,3,0,1.98,0.66
2024-05-12,Bochum,Leverkusen,0,5,0.0,3.3
2024-05-12,Darmstadt,Hoffenheim,0,6,0.33,2.31
2024-05-12,Bayern Munich,Wolfsburg,2,0,0.99,0.66
2024-05-18,Dortmund,Darmstadt,4,0,3.3,0.33
2024-05-18,Ein Frankfurt,RB Leipzig,2,2,1.98,1.65
2024-05-18,Heidenheim,FC Koln,4,1,2.31,2.97
2024-05-18,Hoffenheim,Bayern Munich,4,2,2.97,1.32
2024-05-18,Leverkusen,Augsburg,2,1,2.64,0.66
2024-05-18,Stuttgart,M'gladbach,4,0,3.63,1.65
2024-05-18,Union Berlin,Freiburg,2,1,1.65,1.65
2024-05-18,Werder Bremen,Bochum,4,1,3.96,2.64
2024-05-18,Wolfsburg,Mainz,1,3,1.32,1.98
2024-08-23,M'gladbach,Leverkusen,2,3,2.31,2.97
2024-08-24,Hoffenheim,Holstein Kiel,3,2,2.64,1.98
2024-08-24,Augsburg,Werder Bremen,2,2,0.99,1.98
2024-08-24,Freiburg,Stuttgart,3,1,1.32,0.66
2024-08-24,RB Leipzig,Bochum,1,0,0.99,1.32
2024-08-24,Dortmund,Ein Frankfurt,2,0,1.65,0.66
2024-08-24,Mainz,Union Berlin,1,1,0.99,1.32
2024-08-25,Wolfsburg,Bayern Munich,2,3,0.66,2.64
2024-08-25,St Pauli,Heidenheim,0,2,0.99,0.99
2024-08-30,Union Berlin,St Pauli,1,0,1.65,0.66
2024-08-31,Werder Bremen,Dortmund,0,0,0.33,1.32
2024-08-31,Leverkusen,RB Leipzig,2,3,3.3,1.32
2024-08-31,Bochum,M'gladbach,0,2,1.32,1.98
2024-08-31,Ein Frankfurt,Hoffenheim,3,1,2.31,0.99
2024-08-31,Holstein Kiel,Wolfsburg,0,2,1.65,1.32
2024-08-31,Stuttgart,Mainz,3,3,4.29,2.31
2024-09-01,Heidenheim,Augsburg,4,0,2.97,0.33
2024-09-01,Bayern Munich,Freiburg,2,0,1.32,1.32
2024-09-13,Dortmund,Heidenheim,4,2,2.31,1.32
2024-09-14,Freiburg,Bochum,2,1,2.97,0.66
2024-09-14,Hoffenheim,Leverkusen,1,4,1.65,2.64
2024-09-14,M'gladbach,Stuttgart,1,3,2.31,2.31
2024-09-14,RB Leipzig,Union Berlin,0,0,0.99,0.99
2024-09-14,Wolfsburg,Ein Frankfurt,1,2,1.32,2.31
2024-09-14,Holstein Kiel,Bayern Munich,1,6,0.33,4.29
